id_pok_base;id_pok_evol;lvl_evol_pok
1;2;16
2;3;32
4;5;16
5;6;36
7;8;16
8;9;36
10;11;7
11;12;10
13;14;7
14;15;10
16;17;18
17;18;36
19;20;20
21;22;20
23;24;22
25;26;-1
27;28;22
29;30;16
30;31;-1
32;33;16
33;34;-1
35;36;-1
37;38;-1
39;40;-1
41;42;22
43;44;21
44;45;-1
46;47;24
48;49;31
50;51;26
52;53;28
54;55;33
56;57;28
58;59;-1
60;61;25
61;62;-1
63;64;16
64;65;-2
66;67;28
67;68;-2
69;70;21
70;71;-1
72;73;30
74;75;25
75;76;-2
77;78;40
79;80;37
81;82;30
84;85;31
86;87;34
88;89;38
90;91;-1
92;93;25
93;94;-2
96;97;26
98;99;28
100;101;30
102;103;-1
104;105;28
109;110;35
111;112;42
116;117;32
118;119;33
120;121;-1
129;130;20
133;134;-1
133;135;-1
133;136;-1
138;139;40
140;141;40
147;148;30
148;149;55
